title,link,group
a-model-of-human-cognitive-behavior-in-writing-code-for-computer-programs,https://www.ijcai.org/Proceedings/75/Papers/131.pdf,
constructive-visual-imagery-and-perception,https://www.ijcai.org/Proceedings/75/Papers/132.pdf,
affect-as-motivation-for-cognitive-and-constive-processes,https://www.ijcai.org/Proceedings/75/Papers/133.pdf,
an-organization-for-a-dictionary-of-senses,https://www.ijcai.org/Proceedings/75/Papers/134.pdf,
artificial-intelligence-and-aesthetics,https://www.ijcai.org/Proceedings/75/Papers/135.pdf,
experimental-studies-of-human-decision-making-and-its-simulation-by-situation-control-technique,https://www.ijcai.org/Proceedings/75/Papers/136.pdf,
semantic-language-and-the-problem-of-goal-formation-modeling-in-human-thinking,https://www.ijcai.org/Proceedings/75/Papers/137.pdf,
neuronal-mechanisms-of-determination-the-direction-upon-the-sound-source,https://www.ijcai.org/Proceedings/75/Papers/138.pdf,
problem-structure-and-problem-solving-behavior,https://www.ijcai.org/Proceedings/75/Papers/139.pdf,
philosophical-and-psychological-problems-of-artificial-intelligence,https://www.ijcai.org/Proceedings/75/Papers/140.pdf,
levels-of-decision-making-and-certain-problems-of-artificial-intellect,https://www.ijcai.org/Proceedings/75/Papers/141.pdf,
